"copula","marginal","rho","d","rep","coverage","ci"
"t","gaussian",0.75,1,8,0.827888888888889,FALSE
"t","gaussian",0.75,1,9,0.861111111111111,FALSE
"t","gaussian",0.75,1,10,0.872444444444444,FALSE
"t","gaussian",0.75,1,11,0.874666666666667,FALSE
"t","gaussian",0.75,1,12,0.82,FALSE
"t","gaussian",0.75,1,13,0.807666666666667,FALSE
"t","gaussian",0.75,1,14,0.88,FALSE
"t","gaussian",0.75,1,15,0.915666666666667,FALSE
"t","gaussian",0.75,1,16,0.829888888888889,FALSE
"t","gaussian",0.75,1,17,0.922,FALSE
"t","gaussian",0.75,1,18,0.852777777777778,FALSE
"t","gaussian",0.75,1,19,0.962444444444444,FALSE
"t","gaussian",0.75,1,20,0.939222222222222,FALSE
"t","gaussian",0.75,1,21,0.908555555555556,FALSE
"t","gaussian",0.75,1,22,0.823666666666667,FALSE
"t","gaussian",0.75,1,23,0.916333333333333,FALSE
"t","gaussian",0.75,1,24,0.919,FALSE
"t","gaussian",0.75,1,25,0.922777777777778,FALSE
"t","gaussian",0.75,1,26,0.811777777777778,FALSE
"t","gaussian",0.75,1,27,0.879111111111111,FALSE
"t","gaussian",0.75,1,28,0.867222222222222,FALSE
"t","gaussian",0.75,1,29,0.914555555555556,FALSE
"t","gaussian",0.75,1,30,0.838333333333333,FALSE
"t","gaussian",0.75,1,31,0.924777777777778,FALSE
"t","gaussian",0.75,1,32,0.900222222222222,FALSE
"t","gaussian",0.75,1,33,0.905666666666667,FALSE
"t","gaussian",0.75,1,34,0.877888888888889,FALSE
"t","gaussian",0.75,1,35,0.929444444444444,FALSE
"t","gaussian",0.75,1,36,0.909111111111111,FALSE
"t","gaussian",0.75,1,37,0.876777777777778,FALSE
"t","gaussian",0.75,1,38,0.902888888888889,FALSE
"t","gaussian",0.75,1,39,0.915777777777778,FALSE
"t","gaussian",0.75,1,40,0.861333333333333,FALSE
"t","gaussian",0.75,1,41,0.909444444444444,FALSE
"t","gaussian",0.75,1,42,0.875,FALSE
"t","gaussian",0.75,1,43,0.902111111111111,FALSE
"t","gaussian",0.75,1,44,0.889555555555556,FALSE
"t","gaussian",0.75,1,45,0.877333333333333,FALSE
"t","gaussian",0.75,1,46,0.910333333333333,FALSE
"t","gaussian",0.75,1,47,0.862777777777778,FALSE
"t","gaussian",0.75,1,48,0.893888888888889,FALSE
"t","gaussian",0.75,1,49,0.870666666666667,FALSE
"t","gaussian",0.75,1,50,0.850222222222222,FALSE
"frank","laplace",-0.75,1,1,0.936222222222222,FALSE
"frank","laplace",-0.75,1,2,0.879555555555556,FALSE
"frank","laplace",-0.75,1,3,0.895888888888889,FALSE
"frank","laplace",-0.75,1,4,0.865111111111111,FALSE
"frank","laplace",-0.75,1,5,0.868111111111111,FALSE
"frank","laplace",-0.75,1,6,0.893,FALSE
"frank","laplace",-0.75,1,7,0.891555555555556,FALSE
"frank","laplace",-0.75,1,8,0.869444444444444,FALSE
"frank","laplace",-0.75,1,9,0.901,FALSE
"frank","laplace",-0.75,1,10,0.925555555555556,FALSE
"frank","laplace",-0.75,1,11,0.870888888888889,FALSE
"frank","laplace",-0.75,1,12,0.936111111111111,FALSE
"frank","laplace",-0.75,1,13,0.897111111111111,FALSE
"frank","laplace",-0.75,1,14,0.902777777777778,FALSE
"frank","laplace",-0.75,1,15,0.888333333333333,FALSE
"frank","laplace",-0.75,1,16,0.920888888888889,FALSE
"frank","laplace",-0.75,1,17,0.904111111111111,FALSE
"frank","laplace",-0.75,1,18,0.921333333333333,FALSE
"frank","laplace",-0.75,1,19,0.843777777777778,FALSE
"frank","laplace",-0.75,1,20,0.881333333333333,FALSE
"frank","laplace",-0.75,1,21,0.924888888888889,FALSE
"frank","laplace",-0.75,1,22,0.860444444444444,FALSE
"frank","laplace",-0.75,1,23,0.927555555555556,FALSE
"frank","laplace",-0.75,1,24,0.873333333333333,FALSE
"frank","laplace",-0.75,1,25,0.849555555555556,FALSE
"frank","laplace",-0.75,1,26,0.869444444444444,FALSE
"frank","laplace",-0.75,1,27,0.881222222222222,FALSE
"frank","laplace",-0.75,1,28,0.913,FALSE
"frank","laplace",-0.75,1,29,0.913777777777778,FALSE
"frank","laplace",-0.75,1,30,0.865777777777778,FALSE
"frank","laplace",-0.75,1,31,0.856555555555556,FALSE
"frank","laplace",-0.75,1,32,0.903222222222222,FALSE
"frank","laplace",-0.75,1,33,0.844,FALSE
"frank","laplace",-0.75,1,34,0.868333333333333,FALSE
"frank","laplace",-0.75,1,35,0.905555555555556,FALSE
"frank","laplace",-0.75,1,36,0.908333333333333,FALSE
"frank","laplace",-0.75,1,37,0.864444444444444,FALSE
"frank","laplace",-0.75,1,38,0.915555555555556,FALSE
"frank","laplace",-0.75,1,39,0.934888888888889,FALSE
"frank","laplace",-0.75,1,40,0.896222222222222,FALSE
"frank","laplace",-0.75,1,41,0.875111111111111,FALSE
"frank","laplace",-0.75,1,42,0.921555555555556,FALSE
"frank","laplace",-0.75,1,43,0.881111111111111,FALSE
"frank","laplace",-0.75,1,44,0.910444444444444,FALSE
"frank","laplace",-0.75,1,45,0.901666666666667,FALSE
"frank","laplace",-0.75,1,46,0.871222222222222,FALSE
"frank","laplace",-0.75,1,47,0.891111111111111,FALSE
"frank","laplace",-0.75,1,48,0.893888888888889,FALSE
"frank","laplace",-0.75,1,49,0.883222222222222,FALSE
"frank","laplace",-0.75,1,50,0.872888888888889,FALSE
"frank","laplace",-0.5,1,1,0.926555555555556,FALSE
"frank","laplace",-0.5,1,2,0.930666666666667,FALSE
"frank","laplace",-0.5,1,3,0.925666666666667,FALSE
"frank","laplace",-0.5,1,4,0.918,FALSE
"frank","laplace",-0.5,1,5,0.902555555555556,FALSE
"frank","laplace",-0.5,1,6,0.900333333333333,FALSE
"frank","laplace",-0.5,1,7,0.873888888888889,FALSE
"frank","laplace",-0.5,1,8,0.856777777777778,FALSE
"frank","laplace",-0.5,1,9,0.866111111111111,FALSE
"frank","laplace",-0.5,1,10,0.853444444444444,FALSE
"frank","laplace",-0.5,1,11,0.922777777777778,FALSE
"frank","laplace",-0.5,1,12,0.905888888888889,FALSE
"frank","laplace",-0.5,1,13,0.865666666666667,FALSE
"frank","laplace",-0.5,1,14,0.898444444444444,FALSE
"frank","laplace",-0.5,1,15,0.904888888888889,FALSE
"frank","laplace",-0.5,1,16,0.908666666666667,FALSE
"frank","laplace",-0.5,1,17,0.882666666666667,FALSE
"frank","laplace",-0.5,1,18,0.894555555555556,FALSE
"frank","laplace",-0.5,1,19,0.903777777777778,FALSE
"frank","laplace",-0.5,1,20,0.901666666666667,FALSE
"frank","laplace",-0.5,1,21,0.914111111111111,FALSE
"frank","laplace",-0.5,1,22,0.926555555555556,FALSE
"frank","laplace",-0.5,1,23,0.895,FALSE
"frank","laplace",-0.5,1,24,0.819,FALSE
"frank","laplace",-0.5,1,25,0.891666666666667,FALSE
"frank","laplace",-0.5,1,26,0.895,FALSE
"frank","laplace",-0.5,1,27,0.880444444444444,FALSE
"frank","laplace",-0.5,1,28,0.907555555555556,FALSE
"frank","laplace",-0.5,1,29,0.825888888888889,FALSE
"frank","laplace",-0.5,1,30,0.883333333333333,FALSE
"frank","laplace",-0.5,1,31,0.918444444444444,FALSE
"frank","laplace",-0.5,1,32,0.914555555555556,FALSE
"frank","laplace",-0.5,1,33,0.898333333333333,FALSE
"frank","laplace",-0.5,1,34,0.954,FALSE
"frank","laplace",-0.5,1,35,0.897888888888889,FALSE
"frank","laplace",-0.5,1,36,0.884777777777778,FALSE
"frank","laplace",-0.5,1,37,0.898111111111111,FALSE
"frank","laplace",-0.5,1,38,0.872222222222222,FALSE
"frank","laplace",-0.5,1,39,0.885777777777778,FALSE
"frank","laplace",-0.5,1,40,0.882777777777778,FALSE
"frank","laplace",-0.5,1,41,0.910333333333333,FALSE
"frank","laplace",-0.5,1,42,0.889,FALSE
"frank","laplace",-0.5,1,43,0.903111111111111,FALSE
"frank","laplace",-0.5,1,44,0.909333333333333,FALSE
"frank","laplace",-0.5,1,45,0.887444444444444,FALSE
"frank","laplace",-0.5,1,46,0.899888888888889,FALSE
"frank","laplace",-0.5,1,47,0.906777777777778,FALSE
"frank","laplace",-0.5,1,48,0.918444444444444,FALSE
"frank","laplace",-0.5,1,49,0.872444444444444,FALSE
"frank","laplace",-0.5,1,50,0.911,FALSE
"frank","laplace",-0.25,1,1,0.929777777777778,FALSE
"frank","laplace",-0.25,1,2,0.906777777777778,FALSE
"frank","laplace",-0.25,1,3,0.846777777777778,FALSE
"frank","laplace",-0.25,1,4,0.944777777777778,FALSE
"frank","laplace",-0.25,1,5,0.919555555555556,FALSE
"frank","laplace",-0.25,1,6,0.869333333333333,FALSE
"frank","laplace",-0.25,1,7,0.963,FALSE
"frank","laplace",-0.25,1,8,0.866333333333333,FALSE
"frank","laplace",-0.25,1,9,0.865333333333333,FALSE
"frank","laplace",-0.25,1,10,0.878888888888889,FALSE
"frank","laplace",-0.25,1,11,0.892777777777778,FALSE
"frank","laplace",-0.25,1,12,0.89,FALSE
"frank","laplace",-0.25,1,13,0.839111111111111,FALSE
"frank","laplace",-0.25,1,14,0.903777777777778,FALSE
"frank","laplace",-0.25,1,15,0.891333333333333,FALSE
"frank","laplace",-0.25,1,16,0.879777777777778,FALSE
"frank","laplace",-0.25,1,17,0.901,FALSE
"frank","laplace",-0.25,1,18,0.875666666666667,FALSE
"frank","laplace",-0.25,1,19,0.932777777777778,FALSE
"frank","laplace",-0.25,1,20,0.906,FALSE
"frank","laplace",-0.25,1,21,0.897444444444444,FALSE
"frank","laplace",-0.25,1,22,0.933777777777778,FALSE
"frank","laplace",-0.25,1,23,0.896888888888889,FALSE
"frank","laplace",-0.25,1,24,0.913666666666667,FALSE
"frank","laplace",-0.25,1,25,0.856111111111111,FALSE
"frank","laplace",-0.25,1,26,0.863111111111111,FALSE
"frank","laplace",-0.25,1,27,0.877444444444444,FALSE
"frank","laplace",-0.25,1,28,0.887444444444444,FALSE
"frank","laplace",-0.25,1,29,0.935666666666667,FALSE
"frank","laplace",-0.25,1,30,0.869,FALSE
"frank","laplace",-0.25,1,31,0.825111111111111,FALSE
"frank","laplace",-0.25,1,32,0.909333333333333,FALSE
"frank","laplace",-0.25,1,33,0.865444444444444,FALSE
"frank","laplace",-0.25,1,34,0.923555555555556,FALSE
"frank","laplace",-0.25,1,35,0.918555555555556,FALSE
"frank","laplace",-0.25,1,36,0.872333333333333,FALSE
